ICD10;AirP;AQHI;SH;CO;SC;O3;SO;PM2.5;SP;AQHIX;SI;NO2;SN;O3H8;S8;SO2;SS;LAG
I00-I99;Age 11-60 Male;-0.000258455;0.006267292;0.02474831;0.05539348;-0.000435883;0.000745871;0.000311711;0.000782613;-2.09E-05;0.004275405;7.46E-05;0.000742226;-7.53E-05;0.000492624;0.002461671;0.003799239;2
I00-I99;Age 60+All;0.008713366;0.003714997;0.03937214;0.03285083;-0.000275382;0.000445522;0.000849398;0.00046402;0.005931836;0.002533301;0.001171772;0.000439488;0.000196802;0.000293069;0.005644067;0.002279662;2
I00-I99;Age 60+ Female;0.007650074;0.004738934;0.03185626;0.04184899;-0.000680056;0.00056766;0.000751424;0.000591171;0.006783313;0.003230824;0.001291563;0.000559885;0.000273765;0.00037402;0.006641403;0.002904172;2
I00-I99;Age 60+ Male;0.009839169;0.005068358;0.04740949;0.04490264;0.000151605;0.000608114;0.000953936;0.000633758;0.005041816;0.003456634;0.001045777;0.00060051;0.000116817;0.000399381;0.004593293;0.003116001;2
I00-I99;All: LAG 3;0.002930489;0.003280976;0.00638152;0.02913556;-0.000296395;0.000393344;0.000599965;0.000410563;0.000416943;0.002236566;0.000355593;0.000387879;-0.000291425;0.000257314;0.000549911;0.002010932;3
I00-I99;Female;0.002760116;0.004142046;0.008307787;0.036822463;-0.000719421;0.000496972;0.000487833;0.000518331;0.001593363;0.00282359;0.0006331;0.000489446;-0.000305004;0.000325247;0.001531844;0.002540146;3
I00-I99;Male;0.003093962;0.004205093;0.004627738;0.037301498;0.000100627;0.000503656;0.000706164;0.000526258;-0.000687186;0.002866092;9.42E-05;0.000497312;-0.000278099;0.000329422;-0.000375559;0.002575771;3
I00-I99;Warm All;0.003649126;0.003118345;0.03304744;0.03783317;0.00053452;0.000366942;0.000993716;0.000438368;-0.001021958;0.002119767;-0.000206864;0.0004632;-8.59E-05;0.000207216;0.000848565;0.002432211;3
I00-I99;Warm Female;-0.00133356;0.003993695;0.04334796;0.04837506;-0.000223976;0.000469967;4.55E-05;0.000562587;-0.001718568;0.002712452;-0.000176746;0.000592042;-0.000228258;0.0002653;-0.001470068;0.003114909;3
I00-I99;Warm Male;0.008309861;0.004009014;0.0234578;0.04874017;0.001243895;0.00047161;0.001879145;0.000562546;-0.000373002;0.002727927;-0.000236523;0.000596724;4.72E-05;0.000266514;0.003023235;0.003127246;3
